Team,No,Player_Name,Games_Played,Goals,Assists,Points
Рейнджерс,23,Адам Фокс,72,17,56,73
Рейнджерс,79,К'Андре Миллер,80,8,22,30
Рейнджерс,16,Винсент Трочек,82,25,52,77
Рейнджерс,8,Джейк Труба,69,3,19,22
Рейнджерс,10,Артемий Панарин,82,49,71,120
Рейнджерс,93,Мика Зибанежад,81,26,46,72
Рейнджерс,55,Райан Линдгрен,76,3,14,17
Рейнджерс,20,Крис Крайдер,82,39,36,75
Рейнджерс,–,Эрик Густафссон,76,6,25,31
Рейнджерс,13,Алексис Лафреньер,82,28,29,57
Рейнджерс,14,Коннор Маккей,1,0,0,0
Рейнджерс,72,Филип Хитил,10,0,6,6
Рейнджерс,4,Брэйден Шнайдер,82,5,14,19
Рейнджерс,–,Александр Веннберг,19,1,3,4
Рейнджерс,6,Зак Джонс,31,2,7,9
Рейнджерс,5,Чэд Руэдел,5,0,0,0
Рейнджерс,–,Джек Рословик,19,3,5,8
Рейнджерс,24,Каапо Какко,61,13,6,19
Рейнджерс,17,Блэйк Уилер,54,9,12,21
Рейнджерс,–,Барклай Гудроу,80,4,8,12
Рейнджерс,26,Джимми Веси,80,13,13,26
Рейнджерс,–,Ник Бонино,45,1,4,5
Рейнджерс,76,Джонни Бродзински,57,6,13,19
Рейнджерс,50,Уилл Кайлле,81,13,8,21
Рейнджерс,18,Райли Нэш,1,0,0,0
Рейнджерс,58,Брэндон Скэнлин,1,0,0,0
Рейнджерс,71,Тайлер Питлик,34,1,3,4
Рейнджерс,78,Бреннан Отманн,3,0,0,0
Рейнджерс,84,Адам Эдстрем,11,2,0,2
Рейнджерс,15,Джейк Лешишин,1,0,0,0
Рейнджерс,73,Мэтт Ремпе,17,1,1,2
Рейнджерс,25,Антон Блид,1,0,0,0
Сан-Хосе,38,Марио Ферраро,78,3,18,21
Сан-Хосе,85,Шакир Мухамадуллин,3,0,1,1
Сан-Хосе,64,Микаэль Гранлунд,69,12,48,60
Сан-Хосе,–,Томаш Гертл,48,15,19,34
Сан-Хосе,3,Генри Трун,51,3,8,11
Сан-Хосе,84,Ян Рутта,69,5,14,19
Сан-Хосе,–,Кайл Берроуз,73,2,6,8
Сан-Хосе,20,Фабиан Зеттерлунд,82,24,20,44
Сан-Хосе,39,Логан Кутюр,6,0,1,1
Сан-Хосе,72,Вильям Эклунд,80,16,29,45
Сан-Хосе,6,Тай Эмберсон,30,1,9,10
Сан-Хосе,5,Мэтт Беннинг,14,0,2,2
Сан-Хосе,26,Джек Томпсон,2,0,0,0
Сан-Хосе,71,Николай Кныжов,10,0,1,1
Сан-Хосе,33,Кален Эддисон,60,1,11,12
Сан-Хосе,51,Коллин Граф,7,0,2,2
Сан-Хосе,–,Никита Охотюк,43,1,7,8
Сан-Хосе,44,Марк-Эдуард Влэшик,57,6,6,12
Сан-Хосе,–,Энтони Дюклер,56,16,11,27
Сан-Хосе,94,Александр Барабанов,46,4,9,13
